"Gene.Name","Gene.ID.x","log2FoldChange","padj","Gene.ID.y","atlas_log2FC","direction_R","direction_ATLAS","match"
"0610010F05Rik","ENSMUSG00000042208",-0.132713659788896,0.963788928668697,"ENSMUSG00000042208",-0.1,"Down","Down",TRUE
"0610012G03Rik","ENSMUSG00000107002",1.01718062427395,0.660647568687209,"ENSMUSG00000107002",0.6,"Up","Up",TRUE
"0610030E20Rik","ENSMUSG00000058706",-0.162795761683633,0.931722658980731,"ENSMUSG00000058706",-0.2,"Down","Down",TRUE
"0610040F04Rik","ENSMUSG00000087341",0.293074335928186,0.977789657841989,"ENSMUSG00000087341",0.2,"Up","Up",TRUE
"1110004F10Rik","ENSMUSG00000030663",0.369771666367242,0.829450385116596,"ENSMUSG00000030663",0.3,"Up","Up",TRUE
"1110032A03Rik","ENSMUSG00000037971",-0.426999054607316,0.888073296435024,"ENSMUSG00000037971",-0.3,"Down","Down",TRUE
"1110038B12Rik","ENSMUSG00000092203",-0.400812301546456,0.771260965085486,"ENSMUSG00000092203",-0.3,"Down","Down",TRUE
"1110059E24Rik","ENSMUSG00000035171",-0.38637879497969,0.801589758295849,"ENSMUSG00000035171",-0.4,"Down","Down",TRUE
"1110059G10Rik","ENSMUSG00000032551",0.624153079990186,0.831337147483984,"ENSMUSG00000032551",0.4,"Up","Up",TRUE
"1300014J16Rik","ENSMUSG00000112545",-0.40183127286933,0.947409816990606,"ENSMUSG00000112545",-0.2,"Down","Down",TRUE
"1500004A13Rik","ENSMUSG00000098912",-1.15596135581539,0.685580139467452,"ENSMUSG00000098912",-0.6,"Down","Down",TRUE
"1500009L16Rik","ENSMUSG00000087651",-0.358717101289947,0.908702828619599,"ENSMUSG00000087651",-0.3,"Down","Down",TRUE
"1500011B03Rik","ENSMUSG00000072694",-0.540319101762305,0.919881800435253,"ENSMUSG00000072694",-0.3,"Down","Down",TRUE
"1500015A07Rik","ENSMUSG00000098702",-1.02034557288599,0.701159882578013,"ENSMUSG00000098702",-0.7,"Down","Down",TRUE
"1600012H06Rik","ENSMUSG00000050088",-0.131603282911339,0.960580115759751,"ENSMUSG00000050088",-0.1,"Down","Down",TRUE
"1600014C10Rik","ENSMUSG00000054676",-1.0168431791445,0.827564876991579,"ENSMUSG00000054676",-0.6,"Down","Down",TRUE
"1600020E01Rik","ENSMUSG00000097048",-0.976616000797694,0.87607774208063,"ENSMUSG00000097048",-0.4,"Down","Down",TRUE
"1700001L05Rik","ENSMUSG00000075511",-0.586984156418777,0.846231755020269,"ENSMUSG00000075511",-0.4,"Down","Down",TRUE
"1700007E05Rik","ENSMUSG00000101234",-0.548752762666684,0.919603375733435,"ENSMUSG00000101234",-0.3,"Down","Down",TRUE
"1700017B05Rik","ENSMUSG00000032300",0.917550350704675,0.310755269774956,"ENSMUSG00000032300",0.7,"Up","Up",TRUE
"1700023H06Rik","ENSMUSG00000089827",-0.256710618535139,0.975494814280898,"ENSMUSG00000089827",-0.1,"Down","Down",TRUE
"1700025G04Rik","ENSMUSG00000032666",1.11620653828829,0.181756539963506,"ENSMUSG00000032666",0.9,"Up","Up",TRUE
"1700028E10Rik","ENSMUSG00000097321",3.91351674186117,NA,"ENSMUSG00000097321",1.2,"Up","Up",TRUE
"1700030A11Rik","ENSMUSG00000085333",-1.09013942880433,0.684494435431677,"ENSMUSG00000085333",-0.7,"Down","Down",TRUE
"1700037H04Rik","ENSMUSG00000027327",-0.544720312559791,0.917579549677487,"ENSMUSG00000027327",-0.3,"Down","Down",TRUE
"1700058P15Rik","ENSMUSG00000089636",0.188618672100158,0.974202104210184,"ENSMUSG00000089636",0.1,"Up","Up",TRUE
"1700061H18Rik","ENSMUSG00000084948",0.714126861479586,0.816777434586488,"ENSMUSG00000084948",0.4,"Up","Up",TRUE
"1700066B19Rik","ENSMUSG00000073598",0.940146020427667,0.674652325098601,"ENSMUSG00000073598",0.6,"Up","Up",TRUE
"1700109H08Rik","ENSMUSG00000008307",0.58994346694669,0.891282268533359,"ENSMUSG00000008307",0.3,"Up","Up",TRUE
"1700123O20Rik","ENSMUSG00000040822",-0.309166510482526,0.916949970714971,"ENSMUSG00000040822",-0.3,"Down","Down",TRUE
"1810019D21Rik","ENSMUSG00000086390",-0.868248902046245,0.824831416977703,"ENSMUSG00000086390",-0.5,"Down","Down",TRUE
"1810030O07Rik","ENSMUSG00000044148",-0.224566365901369,0.947909665227538,"ENSMUSG00000044148",-0.2,"Down","Down",TRUE
"1810037I17Rik","ENSMUSG00000054091",-0.235188394306332,0.917402950298231,"ENSMUSG00000054091",-0.2,"Down","Down",TRUE
"1810055G02Rik","ENSMUSG00000035372",0.627032623001537,0.905138865468701,"ENSMUSG00000035372",0.3,"Up","Up",TRUE
"1810065E05Rik","ENSMUSG00000013653",-1.03626098292487,0.000485600643972012,"ENSMUSG00000013653",-1,"Down","Down",TRUE
"2010003K11Rik","ENSMUSG00000042041",-0.320620561728745,0.87607774208063,"ENSMUSG00000042041",-0.3,"Down","Down",TRUE
"2010008C14Rik","ENSMUSG00000107761",-0.173481033787896,0.984533088831823,"ENSMUSG00000107761",-0.1,"Down","Down",TRUE
"2010016I18Rik","ENSMUSG00000091575",0.164096214557483,0.949868787844399,"ENSMUSG00000091575",0.2,"Up","Up",TRUE
"2010315B03Rik","ENSMUSG00000074829",-0.216319869650014,0.941023963531467,"ENSMUSG00000074829",-0.2,"Down","Down",TRUE
"2200002D01Rik","ENSMUSG00000030587",-0.342894497046312,0.696799437584091,"ENSMUSG00000030587",-0.3,"Down","Down",TRUE
"2210009P08Rik","ENSMUSG00000116929",-0.722893354776809,0.856974509330497,"ENSMUSG00000116929",-0.4,"Down","Down",TRUE
"2210016F16Rik","ENSMUSG00000021550",-0.408192710553496,0.777275589170924,"ENSMUSG00000021550",-0.4,"Down","Down",TRUE
"2210016L21Rik","ENSMUSG00000029559",-0.432243656723319,0.879640698947168,"ENSMUSG00000029559",-0.3,"Down","Down",TRUE
"2210408I21Rik","ENSMUSG00000071252",-0.192494063561225,0.980388620275529,"ENSMUSG00000071252",-0.1,"Down","Down",TRUE
"2310001H17Rik","ENSMUSG00000097354",-1.12390585198002,0.233710980314235,"ENSMUSG00000097354",-0.9,"Down","Down",TRUE
"2310011J03Rik","ENSMUSG00000020133",-0.230103456100418,0.957838904891184,"ENSMUSG00000020133",-0.2,"Down","Down",TRUE
"2310015A10Rik","ENSMUSG00000097729",-1.60455231261194,0.257450895981171,"ENSMUSG00000097729",-1,"Down","Down",TRUE
"2310022B05Rik","ENSMUSG00000031983",0.171155395498953,0.958125549089486,"ENSMUSG00000031983",0.1,"Up","Up",TRUE
"2310030G06Rik","ENSMUSG00000032062",-0.197737912817452,0.980388620275529,"ENSMUSG00000032062",-0.2,"Down","Down",TRUE
"2310033P09Rik","ENSMUSG00000020441",0.775641823473018,0.803032878972691,"ENSMUSG00000020441",0.5,"Up","Up",TRUE
"2310057M21Rik","ENSMUSG00000040177",-0.381003664147849,0.904099429077489,"ENSMUSG00000040177",-0.3,"Down","Down",TRUE
"2310058D17Rik","ENSMUSG00000085379",0.276615094205172,0.974930164478421,"ENSMUSG00000085379",0.2,"Up","Up",TRUE
"2310061I04Rik","ENSMUSG00000050705",-0.142077042346419,0.975019767020469,"ENSMUSG00000050705",-0.1,"Down","Down",TRUE
"2310069B03Rik","ENSMUSG00000100291",-0.924652664305588,0.749901066641775,"ENSMUSG00000100291",-0.7,"Down","Down",TRUE
"2410002F23Rik","ENSMUSG00000045411",-0.14027640164309,0.980388620275529,"ENSMUSG00000045411",-0.1,"Down","Down",TRUE
"2410004B18Rik","ENSMUSG00000036873",0.37818116174061,0.920211893015225,"ENSMUSG00000036873",0.3,"Up","Up",TRUE
"2410006H16Rik","ENSMUSG00000086841",-0.362985339048164,0.947909665227538,"ENSMUSG00000086841",-0.2,"Down","Down",TRUE
"2510009E07Rik","ENSMUSG00000043391",0.425125499548478,0.803032878972691,"ENSMUSG00000043391",0.4,"Up","Up",TRUE
"2510039O18Rik","ENSMUSG00000044496",0.39373683932888,0.625710418225893,"ENSMUSG00000044496",0.4,"Up","Up",TRUE
"2610001J05Rik","ENSMUSG00000052419",0.198314094281639,0.947909665227538,"ENSMUSG00000052419",0.2,"Up","Up",TRUE
"2610008E11Rik","ENSMUSG00000060301",-0.373849513763061,0.913562450095515,"ENSMUSG00000060301",-0.3,"Down","Down",TRUE
"2610020C07Rik","ENSMUSG00000097537",-0.300677008410629,0.969433353915928,"ENSMUSG00000097537",-0.2,"Down","Down",TRUE
"2610021A01Rik","ENSMUSG00000091474",1.33020900509337,0.349904054154621,"ENSMUSG00000091474",1.1,"Up","Up",TRUE
"2610035D17Rik","ENSMUSG00000087259",-0.139164379385894,0.980388620275529,"ENSMUSG00000087259",-0.1,"Down","Down",TRUE
"2610037D02Rik","ENSMUSG00000097536",-0.861564877690421,0.454419775589143,"ENSMUSG00000097536",-0.8,"Down","Down",TRUE
"2610044O15Rik8","ENSMUSG00000071302",-0.341137952364994,0.943898283213427,"ENSMUSG00000071302",-0.2,"Down","Down",TRUE
"2610318M16Rik","ENSMUSG00000114532",-0.790740042908645,0.606745350792446,"ENSMUSG00000114532",-0.6,"Down","Down",TRUE
"2610507B11Rik","ENSMUSG00000010277",0.304885378714259,0.570346746290957,"ENSMUSG00000010277",0.3,"Up","Up",TRUE
"2610528A11Rik","ENSMUSG00000096001",-0.316318754051902,0.793735220955666,"ENSMUSG00000096001",-0.3,"Down","Down",TRUE
"2610528J11Rik","ENSMUSG00000028536",-0.0789887860238215,0.983239139835106,"ENSMUSG00000028536",-0.1,"Down","Down",TRUE
"2700029L08Rik","ENSMUSG00000106691",0.469938858485645,0.941023963531467,"ENSMUSG00000106691",0.2,"Up","Up",TRUE
"2700049A03Rik","ENSMUSG00000034601",0.230906422569138,0.956006003098817,"ENSMUSG00000034601",0.2,"Up","Up",TRUE
"2700097O09Rik","ENSMUSG00000062198",-0.429421812696185,0.911916194428941,"ENSMUSG00000062198",-0.3,"Down","Down",TRUE
"2810004N23Rik","ENSMUSG00000031984",-0.0970247120176084,0.982778333609801,"ENSMUSG00000031984",-0.1,"Down","Down",TRUE
"2810013P06Rik","ENSMUSG00000099881",-0.156702975738728,0.977367489681727,"ENSMUSG00000099881",-0.1,"Down","Down",TRUE
"2810030D12Rik","ENSMUSG00000099338",-1.85573271557461,0.423545418224886,"ENSMUSG00000099338",-0.8,"Down","Down",TRUE
"2810403D21Rik","ENSMUSG00000086629",-1.14968049196693,0.56473267604035,"ENSMUSG00000086629",-0.7,"Down","Down",TRUE
"2810428J06Rik","ENSMUSG00000105981",-0.344511424217922,0.951908160761747,"ENSMUSG00000105981",-0.2,"Down","Down",TRUE
"2810459M11Rik","ENSMUSG00000026227",-0.641992155662169,0.668649980201456,"ENSMUSG00000026227",-0.5,"Down","Down",TRUE
"2900026A02Rik","ENSMUSG00000051339",-0.383138026319395,0.363479366979953,"ENSMUSG00000051339",-0.4,"Down","Down",TRUE
"3110001I22Rik","ENSMUSG00000079737",-1.15972555079207,0.473322105982964,"ENSMUSG00000079737",-0.7,"Down","Down",TRUE
"3110040N11Rik","ENSMUSG00000025102",-0.537738035974185,0.921807556915086,"ENSMUSG00000025102",-0.3,"Down","Down",TRUE
"3110056K07Rik","ENSMUSG00000085622",-0.305909064721235,0.949868787844399,"ENSMUSG00000085622",-0.2,"Down","Down",TRUE
"3930402G23Rik","ENSMUSG00000038917",0.0968768550990566,0.986137861474686,"ENSMUSG00000038917",0.1,"Up","Up",TRUE
"4632404H12Rik","ENSMUSG00000042579",-0.642726470773727,0.852740842631206,"ENSMUSG00000042579",-0.4,"Down","Down",TRUE
"4632415L05Rik","ENSMUSG00000048106",-0.426614794826905,0.929691645173928,"ENSMUSG00000048106",-0.4,"Down","Down",TRUE
"4632418H02Rik","ENSMUSG00000111605",-0.357220008340953,0.931472756123465,"ENSMUSG00000111605",-0.3,"Down","Down",TRUE
"4632427E13Rik","ENSMUSG00000074024",-0.294285021003469,0.862491512456626,"ENSMUSG00000074024",-0.2,"Down","Down",TRUE
